page,text,confidence,x0,y0,x1,y1
1,nja,0.2554569975347733,3994,289,4019,303
1,10%,0.9979587768861602,4214,289,4244,303
1,9%,0.9927378378214587,4399,289,4424,303
1,7%,0.9899206043273034,4581,289,4603,303
1,12%,0.9985146867682883,4753,289,4783,303
1,nla,0.28180693500740983,4941,289,4963,303
1,50%,0.9808971865265383,5111,289,5143,306
1,142%,0.9078654634569223,5286,289,5323,306
1,-8 %,0.652955949306488,5468,289,5493,303
1,"Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL",0.6475273768807243,5506,289,5825,306
1,nla,0.6922430056626699,6033,289,6058,306
1,nla,0.7451965803302264,6213,289,6238,306
1,nla,0.6922430056626699,6393,289,6418,306
1,nla,0.7451965803302264,6573,289,6598,306
1,nla,0.7277674042863413,6698,289,6723,306
1,fol,0.48996846339386063,797.0323827276031,295.1520016959949,821.9676172723969,312.8479983040051
1,that offers solutions,0.9755670856327745,684,296,803,313
1,e-commerce,0.9994753219805121,821,299,896,311
1,Clearstory [,0.6839613110511117,686,324,751,341
1,software company that,0.9988917696059685,769,324,908,341
1,United States,0.7986740082297752,1534,324,1616,341
1,hide|,0.5915373455261822,149,334,181,348
1,Clearstory,0.9820085607967954,224,334,288,351
1,"Jul 28, 2025 12.57 PM",0.745670005558913,526,334,656,351
1,clearstorybuild,0.9999502280550976,1164,334,1261,351
1,51-200,0.727171552304066,1339,334,1383,348
1,California,0.7026226122803142,1646,334,1703,348
1,San Francisco,0.9989765185459099,1764,334,1851,351
1,e)tracker,0.35416146786804564,1874,334,1936,348
1,Load contacts,0.9826089996492959,2024,334,2111,348
1,ntacts,0.9719081706728236,2073,334,2111,351
1,Venture Capital,0.8736718316166379,2134,334,2229,351
1,2018,1.0,2254,334,2289,348
1,33.8,0.9999775290489197,2432,334,2464,348
1,"Jun 26, 2024",0.8166837450174198,2692,334,2774,351
1,Series,0.9988969012910569,2784,334,2826,351
1,Building Ventures,0.83596149158424,2934,334,3041,351
1,Corporate,0.9999636010990351,3104,334,3169,351
1,Building Ventures,0.852359870935997,3234,334,3341,351
1,DataStreet,0.9991724963384283,3374,334,3441,348
1,nja,0.2738893986112754,3614,334,3639,348
1,nla,0.4624559027683478,3994,334,4019,351
1,7%,0.6727870777385744,4219,334,4244,348
1,20%,0.9950416016063168,4392,334,4424,348
1,24%,0.9920828763939628,4571,334,4603,348
1,51%,0.9606483578681946,4753,334,4783,348
1,nla,0.718161408616187,4938,334,4963,351
1,nfa,0.4156126199728317,5121,334,5143,351
1,nla,0.718161408616187,5298,334,5323,351
1,167%,0.572160001407812,5456,334,5493,351
1,San Francisco,0.9999386341021267,5503,334,5590,351
1,"California, US",0.9444643135213263,5596,334,5678,351
1,nla,0.7152452474476882,6033,334,6058,351
1,nla,0.7393925299952403,6213,334,6238,351
1,nla,0.7152452474476882,6393,334,6418,351
1,nla,0.7393925299952403,6573,334,6598,351
1,nla,0.718161408616187,6698,334,6723,351
1,Gave,0.36682459712028503,107,337,135,345
1,(USA),0.9996883322270802,1536,341,1573,358
1,provides change order management tools fo_.,0.850186547750442,684,344,948,361
1,Axelor =,0.7599948905582297,684,369,728,386
1,software company that offers an,0.9690067657496664,746,369,938,386
1,ile-De-France,0.992384786073621,1644,376,1728,396
1,hide,0.999846339225769,149,379,176,391
1,Axelor,0.9998756855833382,224,379,266,396
1,"Jul 28, 2025 12.57 PM",0.7487303736110238,526,379,656,396
1,axelorcom,0.9981427308409474,1164,379,1236,396
1,51-200,0.7180512106914817,1339,379,1383,393
1,136,0.9999547129482467,1476,379,1503,393
1,France,0.999998247988063,1534,379,1578,396
1,Paris,0.85107100425615,1764,379,1798,393
1,arelor,0.969240846598155,1874,379,1916,393
1,Load contacts,0.9830138907121342,2024,379,2111,393
1,ntacts,0.9719750273725085,2073,379,2111,396
1,Venture Capital,0.877958137911726,2134,379,2229,396
1,2005,0.9999958276748657,2254,379,2291,393
1,10.5,0.9384160002655191,2437,379,2464,393
1,10.5,0.7435160983973526,2604,379,2631,391
1,May,0.9999943563098699,2697,379,2726,396
1,2022,0.9999964237213135,2739,379,2774,396
1,Series,0.9978014800488881,2784,379,2826,396
1,Elevation Capital Partners,0.9032379851994193,2934,379,3086,396
1,nla,0.47021361713602694,3104,379,3129,396
1,Elevation Capital F,0.7557269372860128,3234,379,3344,396
1,nja,0.26555911961208617,3354,379,3379,393
1,nla,0.5519830583461456,3579,379,3604,396
1,nja,0.27199047619286865,3614,379,3639,393
1,nja,0.26555911961208617,3994,379,4019,393
1,-1%,0.6644846576265985,4217,379,4244,393
1,-4%,0.6627076647020305,4394,379,4424,393
1,4%,0.9631488688992506,4398,379,4423,393
1,-17%,0.8431410193443298,4571,379,4603,393
